district,address,boomTime,lat,lon
大同區,大龍街249號,106-3-23,25.0712997,121.5159438
大同區,延平北路2段與民權西路口,106-3-23,25.0627882,121.5112205
大同區,民權西路台北橋機車道往三重,106-3-29,25.0637104,121.5065347
大同區,重慶北路2段與蘭州街口,106-4-4,25.0637502,121.515024
大同區,延平北路3段與民族西路口,106-7-8,25.068799,121.513464
大同區,承德路2段與萬全街口,106-7-10,25.0584518,121.5182755
大同區,敦煌路175巷口,106-7-14,25.0766804,121.5109273
大同區,西寧北路中興醫院急診入口,106-7-15,25.0511327,121.5094194
大同區,寧夏路163號,106-7-21,25.0615112,121.514219
大同區,鄭州路與西寧北路口,106-7-26,25.0526962,121.5086343
大同區,重慶北路3段320號與重慶北路3段口對面,106-7-29,25.0641659,121.513904
大同區,民樂街63號與延平北路2段口(延平北路2段60巷口),106-8-3,25.0552423,121.5109846
大同區,路225巷口(大橋頭捷運站1號出口),106-8-5,25.063199,121.512801
大同區,民權西路184巷與民權西路160巷26弄口,106-8-28,25.0615103,121.5145186
大同區,酒泉街77號,106-3-2,25.0718127,121.516718
大同區,延平北路2段與民權西路口,106-3-7,25.0627882,121.5112205
大同區,南京西路與太原路口,106-3-7,25.0535881,121.5160989
大同區,民權西路與蘭州街口,106-3-8,25.062889,121.5147047
大同區,承德路3段與民權西路口,106-3-13,25.0629867,121.5182325
大同區,長安西路與西寧北路口,106-3-15,25.0526962,121.5086343
大同區,南京西路與民樂街口,106-3-20,25.0582238,121.5105935
大同區,承德路1段64號,106-3-9,25.052071,121.517142
大同區,承德路3段與敦煌路口,106-3-9,25.0707623,121.518518
大同區,市民高架道往三重,106-3-27,25.0447672,121.537358
大同區,民生西路與延平北路2段口,106-3-28,25.056957,121.5115836
大同區,西寧北路32號,106-4-8,25.0512227,121.5082177
大同區,寧夏路與保安街口,106-5-1,25.059831,121.511474
大同區,民權西路136號,106-5-15,25.0627354,121.5164841
大同區,南京西路與環河北路口,106-4-12,25.0539992,121.5132931
大同區,重慶北路3段與民族西路口,106-5-19,25.068799,121.513464
大同區,南京西路與迪化街1段口,106-5-19,25.0551047,121.5100372
大同區,南京西路與民樂街口,106-5-25,25.0582238,121.5105935
大同區,承德路3段276號,106-6-28,25.0634144,121.5185008
大同區,延平北路4段17巷與延平北路4段口,106-11-15,25.1058802,121.4779234
大同區,重慶北路3段26號,106-3-16,25.0649688,121.5134207
大同區,民權西路136號,106-3-18,25.0627354,121.5164841
大同區,甘州街58號與甘州街口,106-3-30,25.059389,121.5127666
大同區,長安西路78巷口,106-4-1,0.0,0.0
大同區,民生西路與承德路2段口,106-4-11,25.0573556,121.5182583
大同區,鄭州路與塔城街口,106-4-15,25.050385,121.5097864
大同區,環河北路1段水門內堤外便道10號燈桿,106-4-17,25.0836033,121.506889
大同區,台北橋機車道往台北,106-4-23,25.0637104,121.5065347
大同區,南京西路76號,106-4-13,25.0528938,121.5181859
大同區,市民大道1段與西寧北路口,106-3-16,25.050385,121.5097864
