Number,Name,Address,Status,lat,long,cond
48963861,麗顏工程企業社,臺北市信義區莊敬路390號4樓,核准設立,25.027359,121.565463,T
48964593,勝利五金行,臺北市萬華區環河南路1段224、226號,核准設立,25.046280399999997,121.5032423,T
48964881,慶燁工程行,臺北市萬華區寶興街210巷22號,核准設立,25.022835,121.495106,T
48977289,統來機電五金行,臺北市萬華區環河南路1段2號公有河濱一商場1號攤位,核准設立,25.034101899999996,121.493284,T
48979890,家禾汽車材料行,臺北市北投區文林北路68號,核准設立,25.105114999999998,121.51836200000001,T
48995126,日晟軸承五金商行,臺北市大同區歸綏街50號,核准設立,25.059167000000002,121.5173291,T
48999214,玄皇工程行,臺北市文山區興隆路3段192巷8弄42號,核准設立,24.998006600000004,121.55741880000001,T
49896567,勁勇建材五金行,臺北市南港區重陽路10號,核准設立,25.0592888,121.61027309999999,T
50647460,廷固工程行,臺北市文山區辛亥路7段11、12號,核准設立,24.9870599,121.552799,T
73885040,松陽汽車材料行,臺北市大同區赤峰街53巷6號1樓,核准設立,25.056145,121.5198881,T
73891134,龍太五金行,臺北市南港區八德路4段901號1樓,核准設立,25.0510333,121.58099240000001,T
73892231,宏伸水電工程行,臺北市內湖區內湖路1段411巷9弄4號1樓,核准設立,25.0821593,121.5713842,T
73910630,家豪五金機械行,臺北市士林區社正路64巷1弄9號1樓,核准設立,25.0887212,121.5113307,T
73917802,澤遠工程行,臺北市大同區哈密街59巷21弄19之1號1樓,核准設立,25.074662300000004,121.5158122,T
77483258,鴻祥水電空調工程行,臺北市文山區木柵路2段109巷79號,核准設立,24.991409100000002,121.5641088,T
77515408,宏欣廣告工程行,臺北市大同區環河北路1段69號1樓,核准設立,25.052676,121.507461,T
78330718,新明達五金商行,臺北市松山區八德路4段503號1樓,核准設立,25.050030399999997,121.571757,T
78369500,東信五金行,臺北市中正區延平南路266號1樓,核准設立,25.0325891,121.50731470000001,T
80985059,禾稑工程行,臺北市內湖區新明路498巷14弄10號,核准設立,25.053863600000003,121.57758829999999,T
