name,shopType,district,status,address,lat,lon,number
栗花服飾精品店忠孝分店,cloth,大安區,核准設立,復興南路1段135巷31號,25.042736,121.5455668,38573098
大衛寢飾家居館,cloth,士林區,核准設立,克強路28號1樓,25.1091067,121.5233485,38573175
萊福服飾店,cloth,士林區,核准設立,大南路117號1樓,25.0896577,121.5236631,38573323
娜雅服飾店,cloth,萬華區,核准設立,成都路29號,25.042666,121.506814,38573371
如心服飾店,cloth,士林區,核准設立,基河路34號,25.0837868,121.5245559,38573793
鉑澄服飾坊,cloth,大安區,核准設立,忠孝東路4段97號2樓之24,25.0417524,121.5478903,38575103
百柏成衣店,cloth,士林區,核准設立,中山北路7段58號,25.1207707,121.5313931,38577165
炳安服裝店,cloth,萬華區,核准設立,永福街63號,25.0386733,121.5033941,38577236
瑪娜精品服飾店,cloth,內湖區,核准設立,民權東路6段431號,25.0715763,121.60423459999998,38577860
欣嵐服裝行,cloth,萬華區,核准設立,大理街42之6號1樓,25.0344186,121.4999311,38578349
荷比馬流行飾品店,cloth,大同區,核准設立,鄭州路29巷2號1樓,25.0497419,121.514215,38578452
富鈺服飾企業社,cloth,中正區,核准設立,三元街200號1樓,25.0276581,121.5119467,38578930
大蕙服飾店,cloth,中山區,核准設立,林森北路96號1樓,25.0499602,121.524578,38579017
皇服精品店,cloth,大安區,核准設立,仁愛路4段122巷61號,25.0337252,121.5503287,38579781
伊勢貝精品服飾店,cloth,大安區,核准設立,和平東路3段68之1號,25.024399,121.550077,38580133
朝暐球鞋用品行,cloth,士林區,核准設立,小東街23號,25.0891766,121.526132,38580703
放風箏服飾店,cloth,萬華區,核准設立,成都路31號,25.042675,121.506762,38580886
和芬一起服飾店,cloth,中山區,核准設立,雙城街12巷16之3號,25.065336,121.5241711,38581528
樂海芮服飾行,cloth,大安區,核准設立,敦化南路1段160巷40號,25.0434503,121.5471118,38581745
弘晴服裝行,cloth,信義區,核准設立,永吉路459巷5弄2號,25.045919,121.578887,38582060
金韋服飾精品店敦南分店,cloth,大安區,核准設立,敦化南路1段187巷67、69號,25.0429534,121.5522942,38599169
韓飾飾品商行,cloth,信義區,核准設立,永吉路443巷5弄7號,25.046247,121.578583,38599560
無敵服飾精品店,cloth,信義區,核准設立,永吉路491巷5弄17號,25.046245000000006,121.579617,38632553
生生韓國女裝行,cloth,信義區,核准設立,永吉路459巷7弄25號,25.046247,121.579228,38645591
帕里服飾店,cloth,南港區,核准設立,玉成街14之11號,25.050531,121.581087,38649421
韓貴精品服飾店,cloth,萬華區,核准設立,環河南路2段122號2樓,25.0364957,121.4951876,41056359
東京直販進口精品服飾,cloth,松山區,核准設立,復興南路1段45號2樓之1,25.0455624,121.5441253,41058201
米索精品服飾企業社,cloth,文山區,核准設立,興隆路4段58巷1號5樓,24.9854097,121.5612012,41377731
帛姿服飾,cloth,大安區,核准設立,金山南路2段25之1號,25.0329438,121.52846370000002,42268789
芃羽精品服飾店,cloth,大安區,核准設立,敦化南路1段177巷15號,25.0431592,121.550145,42269366
純璉服飾店,cloth,大安區,核准設立,忠孝東路4段248巷29號1樓,25.0396283,121.5541533,42270477
曉福飾商行,cloth,大同區,核准設立,重慶北路1段26巷9弄3之3號,25.0511904,121.5133432,42270791
泊錞衣店,cloth,中山區,核准設立,中山北路1段138號,25.051494,121.52198500000002,42272236
潔麗服飾行,cloth,信義區,核准設立,永吉路443巷13弄14號,25.0469229,121.578963,42272377
阿諾斯黛爾精品服飾店,cloth,大安區,核准設立,大安路1段53號,25.0429928,121.5463168,42272691
塞維爾服飾工作室,cloth,萬華區,核准設立,開封街2段62之1號,25.046751,121.506743,42273586
大東八八服飾行,cloth,士林區,核准設立,大東路8號,25.0871994,121.5253874,42274608
千瑩服飾店,cloth,士林區,核准設立,承德路4段35號1樓,25.080918,121.522835,42275178
瑞丹服飾商行,cloth,大同區,核准設立,南京西路18巷26號1樓,25.0508649,121.520103,42275450
雅依服飾小舖,cloth,內湖區,核准設立,成功路4段60號1樓,25.0825496,121.5924879,42275901
昱昶服飾行,cloth,萬華區,核准設立,成都路35號,25.042694,121.506678,42276937
小象洗衣店,cloth,文山區,核准設立,興隆路1段55巷6號,25.003696100000006,121.5414455,42277302
綺儷服飾店,cloth,士林區,核准設立,大東路27號1樓,25.089174300000003,121.5251255,42277865
豔莉服飾行,cloth,信義區,核准設立,松山路119巷17弄6號,25.0476849,121.579462,42278061
可瑞衣坊,cloth,中正區,核准設立,愛國東路106之1號1樓,25.0317711,121.5273633,42278111
永彩飾坊,cloth,大同區,核准設立,延平北路2段247巷18號5樓,25.062216,121.5120122,42278484
創造力創意服飾,cloth,信義區,核准設立,松山路117號,25.047561,121.578005,42278490
艾綠絲香草服飾,cloth,信義區,核准設立,吳興街19號,25.0316475,121.5597791,42281349
興麗服飾行,cloth,文山區,核准設立,保儀路29號1樓,24.988055,121.56873799999998,42281376
愛無限服飾店,cloth,大安區,核准設立,忠孝東路4段205巷26弄6號,25.0432164,121.55145790000002,42281896
朵米娜歐日韓精品服飾,cloth,松山區,核准設立,民生東路5段36巷4弄49號1樓,25.0579967,121.5597902,42281930
千雅服飾行,cloth,信義區,核准設立,松山路119巷1弄15號,25.0478597,121.57868909999998,42282380
小彎荳服飾精品店,cloth,士林區,核准設立,德行東路11號,25.1068146,121.5255242,42282924
鹿町三樂集服飾商行,cloth,北投區,核准設立,中和街368號19樓之3,25.141997,121.499116,42283374
心飾力企業社,cloth,大安區,核准設立,大安路1段53號,25.0429928,121.5463168,42283445
艾卡米菈服飾店,cloth,大安區,核准設立,忠孝東路4段97號2樓之22,25.0417524,121.5478903,42283775
笪新寢飾名店,cloth,南港區,核准設立,忠孝東路7段586號1樓,25.052790100000006,121.6146218,42284373
忻悅服飾店,cloth,內湖區,核准設立,內湖路1段411巷11號,25.0822057,121.5712122,42284388
雙倍七服飾店,cloth,大安區,核准設立,大安路1段31巷38號1樓,25.0439215,121.5473495,42284599
該該貝比服飾店,cloth,信義區,核准設立,忠孝東路5段372巷27弄77之2號1樓,25.0396843,121.5765321,42285231
奇樂精品服飾,cloth,中山區,核准設立,復興北路66號,25.0507027,121.5439226,42285416
佳美飾品行,cloth,大同區,核准設立,重慶北路1段26巷56號,25.0509643,121.512457,42285561
鸚舞服飾行,cloth,南港區,核准設立,中坡北路68號1樓,25.047168,121.580948,42285632
麗爾服飾店,cloth,信義區,核准設立,永吉路443巷3弄16號,25.045928,121.578657,42285767
