name,shopType,district,status,address,lat,lon,number,state_code
星榮電料五金行,hardware,大同區,核准設立,承德路3段8巷18號4樓,25.0636574,121.5165737,26373047,554226989
鏵鑫五金行,hardware,內湖區,核准設立,成功路2段181號1樓,25.0655629,121.589941,27172639,554327009
順有五金行,hardware,北投區,核准設立,尊賢路258號,25.1172464,121.50715859999998,27174186,555427049
鴻錡鋼鋁工程行,hardware,中正區,核准設立,汀州路2段78號1樓,25.0250599,121.51873130000001,27183544,553426898
天福水電?飾廚具行,hardware,內湖區,核准設立,康樂街72巷17弄96號1樓,25.070814499999997,121.6165585,27184001,554427024
安西小五金加工行,hardware,大同區,核准設立,環河北路1段389號,25.061397,121.508657,27184608,554226983
永德五金行,hardware,萬華區,核准設立,康定路218號1樓,25.0382033,121.501621,27188549,553726930
和興工程行,hardware,信義區,核准設立,松隆路167號10樓,25.048288,121.574219,29220329,553926970
伯豐汽車材料行,hardware,大同區,核准設立,承德路2段53巷33號1樓,25.055378899999997,121.5194709,29246910,554026974
幸安五金建材行,hardware,大安區,核准設立,忠孝東路3段217巷4弄1之1號1樓,25.0432757,121.539588,30985287,553826951
鴻達五金行,hardware,北投區,核准設立,尊賢街249巷30號1樓,25.117207,121.505293,31175692,555427048
昇煜五金行,hardware,士林區,核准設立,通河西街2段111號1樓,25.093660999999997,121.500561,31346133,554927030
順盈工程行,hardware,內湖區,核准設立,麗山街46巷8之1號,25.08069110000001,121.5800477,31454293,554627031
鑫采工程行,hardware,萬華區,核准設立,昆明街201巷8號1樓,25.0389406,121.50449099999999,31580171,553726932
雲台山工程行,hardware,文山區,核准設立,木新路2段79巷6弄11號3樓,24.984496,121.570755,31842772,552526769
譓矷工程行,hardware,信義區,核准設立,忠孝東路5段372巷27弄8號3樓,25.0393919,121.574215,31849199,553726949
政統資訊工程行,hardware,士林區,核准設立,中正路653號5樓,25.0859669,121.5078402,31855115,554727022
詠鈞工程行,hardware,文山區,核准設立,興隆路4段49之10號2樓,24.989950399999998,121.55979669999999,31855207,552626788
藝順工程行,hardware,大安區,核准設立,和平東路3段228巷24號4樓之1,25.0218343,121.5540737,31861783,553326896
宅修繕工程行,hardware,大同區,核准設立,萬全街11號1樓,25.0586655,121.51976869999999,31863641,554126980
偉懋家電材料行,hardware,松山區,核准設立,民生東路5段272號1樓,25.059051999999998,121.56774080000001,31865227,554126992
威竑工程行,hardware,內湖區,核准設立,安康路434巷36號5樓,25.066453,121.61604550000001,31871348,554327017
一嘉空調工程行,hardware,南港區,核准設立,市民大道8段532號,25.0539051,121.61336399999999,31871641,554026991
智勝壁紙材料行,hardware,大安區,核准設立,溫州街12巷24弄1號1樓,25.025631,121.53179899999999,31872141,553426902
洪文灝工程行,hardware,士林區,核准設立,葫東街40號1樓,25.0836577,121.5114572,31874345,554727020
名耀室內裝修工程行,hardware,萬華區,核准設立,環河南路2段100巷5號5樓,25.037188,121.4949814,31952881,553626926
詠成五金行,hardware,松山區,核准設立,延壽街364號,25.0563507,121.5586295,31956681,554126984
正裕保溫工程行,hardware,中山區,核准設立,建國北路三段175號3樓,25.0679634,121.534012,31963677,554327001
弘展水電行,hardware,北投區,核准設立,中央北路4段330號,25.130667600000002,121.4722379,31966392,555727044
國豐五金行,hardware,萬華區,核准設立,環河南路1段162號（河濱商場攤位第81號）,25.034101899999996,121.493284,36541120,553626917
鼎紳工程行,hardware,大同區,核准設立,仁愛路3段9號地下1層,25.039434399999998,121.5419962,38457984,553726942
長和工程行,hardware,中山區,核准設立,長安東路1段27號9樓之1,25.0493881,121.5242679,38473838,553926962
靖勝五金行,hardware,大同區,核准設立,太原路50之2號3樓,25.0509327,121.5152668,38474338,553926963
騰翔工程行,hardware,士林區,核准設立,天母西路3號8樓之16,25.1185873,121.5292979,38475168,555427054
弘全工程行,hardware,內湖區,核准設立,新明路426巷7號,25.0553741,121.5793553,38497445,554026987
士全五金行,hardware,中山區,核准設立,長安東路1段23之6號,25.049482100000002,121.523794,38498774,553926962
頂尖環保工程行,hardware,萬華區,核准設立,環河南路3段257號1樓,25.019861,121.493108,38499957,553326877
吉連興工程行,hardware,萬華區,核准設立,東園街28巷30號,25.026872,121.495241,38500336,553426898
利多環保工程行,hardware,松山區,核准設立,南京東路4段130號2樓之1,25.051396399999998,121.55572099999999,38500737,554026973
石神工程行,hardware,萬華區,核准設立,昆明街46號7樓之47,25.0464563,121.50556770000001,38501905,553826951
名喬工程行,hardware,大同區,核准設立,酒泉街246巷6號3樓,25.071795899999998,121.50953510000001,38504972,554427002
?奕工程行,hardware,萬華區,核准設立,廣州街204號2樓,25.0366825,121.4974312,38506508,553626925
宇鑫工程行,hardware,大同區,核准設立,承德路2段155巷7號,25.0582109,121.518776,38508739,554126979
