state_code,house_unitPrice,lease_unitPrice,cloth_done,convStore_done,edu_all_statecode,hardware_done,hsp_and_clc,illegal_don,job_stat_code,mrt,night_club,park,restaurant_statcode,ubike,center,center_lat,center_lon,dist,vil
552626791,487000.0,1428.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,0.0,"(24.99005191093747, 121.57102856064354)",24.99005191093747,121.57102856064354,文山區,木新里
552626792,464000.0,1225.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,"(24.99005191093747, 121.5755662322394)",24.99005191093747,121.5755662322394,文山區,萬興里
552626793,511000.0,1187.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,"(24.99005191093747, 121.58010390383527)",24.99005191093747,121.58010390383527,文山區,政大里
552626794,546500.0,1162.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"(24.99005191093747, 121.58464157543114)",24.99005191093747,121.58464157543114,文山區,政大里
552626795,377000.0,1225.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,"(24.99005191093747, 121.589179247027)",24.99005191093747,121.589179247027,文山區,政大里
552626796,418000.0,1250.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"(24.99005191093747, 121.59371691862286)",24.99005191093747,121.59371691862286,文山區,政大里
552626797,462000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.99005191093747, 121.59825459021873)",24.99005191093747,121.59825459021873,文山區,政大里
552626798,425000.0,862.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.99005191093747, 121.6027922618146)",24.99005191093747,121.6027922618146,文山區,政大里
552626799,347000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.99005191093747, 121.60732993341047)",24.99005191093747,121.60732993341047,深坑區,阿柔里
552626800,488000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.99005191093747, 121.61186760500632)",24.99005191093747,121.61186760500632,深坑區,阿柔里
552726793,447000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"(24.99457376960226, 121.50241404055116)",24.99457376960226,121.50241404055116,中和區,和興里
552726794,636000.0,1225.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,"(24.99457376960226, 121.50694881256828)",24.99457376960226,121.50694881256828,中和區,景安里
552726795,410000.0,1200.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,11.0,0.0,"(24.99457376960226, 121.51148358458539)",24.99457376960226,121.51148358458539,中和區,安順里
552726796,537000.0,1225.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,"(24.99457376960226, 121.5160183566025)",24.99457376960226,121.5160183566025,中和區,秀仁里
552726797,422000.0,1115.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,"(24.99457376960226, 121.52055312861962)",24.99457376960226,121.52055312861962,中和區,秀山里
552726798,370000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,"(24.99457376960226, 121.52508790063673)",24.99457376960226,121.52508790063673,中和區,秀義里
552726799,443000.0,1225.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10.0,0.0,"(24.99457376960226, 121.52962267265384)",24.99457376960226,121.52962267265384,中和區,秀景里
552726800,441000.0,1491.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,"(24.99457376960226, 121.53415744467097)",24.99457376960226,121.53415744467097,新店區,大鵬里
552726801,429000.0,1200.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,0.0,"(24.99457376960226, 121.53869221668808)",24.99457376960226,121.53869221668808,文山區,景慶里
552726802,548000.0,961.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,10.0,0.0,"(24.99457376960226, 121.54322698870519)",24.99457376960226,121.54322698870519,文山區,景華里
552726803,435000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,"(24.99457376960226, 121.54776176072231)",24.99457376960226,121.54776176072231,文山區,景東里
552726804,367500.0,965.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,0.0,"(24.99457376960226, 121.55229653273942)",24.99457376960226,121.55229653273942,文山區,興得里
552726805,418000.0,1159.5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,"(24.99457376960226, 121.55683130475653)",24.99457376960226,121.55683130475653,文山區,興得里
552726806,434000.0,1225.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,"(24.99457376960226, 121.56136607677365)",24.99457376960226,121.56136607677365,文山區,興家里
552726807,358000.0,1225.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,"(24.99457376960226, 121.56590084879076)",24.99457376960226,121.56590084879076,文山區,木柵里
552726808,344000.0,1225.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,"(24.99457376960226, 121.57043562080787)",24.99457376960226,121.57043562080787,文山區,萬芳里
552726809,372000.0,1250.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,"(24.99457376960226, 121.574970392825)",24.99457376960226,121.574970392825,文山區,萬興里
552726810,376000.0,1225.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,"(24.99457376960226, 121.5795051648421)",24.99457376960226,121.5795051648421,文山區,萬興里
552726811,446500.0,1225.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,"(24.99457376960226, 121.58403993685921)",24.99457376960226,121.58403993685921,文山區,萬興里
552726812,604000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.99457376960226, 121.58857470887634)",24.99457376960226,121.58857470887634,文山區,萬興里
552726813,377000.0,1225.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.99457376960226, 121.59310948089345)",24.99457376960226,121.59310948089345,文山區,萬興里
552726814,498000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.99457376960226, 121.59764425291056)",24.99457376960226,121.59764425291056,文山區,政大里
552826809,439000.0,1225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.999095628267042, 121.49981616103605)",24.999095628267042,121.49981616103605,中和區,漳和里
552826811,555000.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"(24.999095628267042, 121.50888009853291)",24.999095628267042,121.50888009853291,中和區,安平里
552826812,488000.0,1114.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,"(24.999095628267042, 121.51341206728134)",24.999095628267042,121.51341206728134,中和區,安樂里
